Document ID : Guideline ID,1,1.5,2,2.5,3,3.5,4,4.5
Goal of articulation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intuition-building,0,0.0,0.0,0.0,1.0,5.0,7.0,5.0
Clearly Articulated,0,0.0,0.0,0.0,1.0,1.0,1.0,10.0
Credible,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Scoped,0,0.0,0.0,0.0,1.0,2.0,4.0,11.0
Impact,0,0.0,1.0,2.0,6.0,9.0,3.0,6.0
Strictness,0,0.0,0.0,1.0,8.0,2.0,8.0,8.0
Actionable,0,0.0,2.0,0.0,1.0,2.0,0.0,11.0
Discoverable,0,0.0,0.0,3.0,1.0,0.0,4.0,10.0
Relationships,0,0.0,0.0,0.0,0.0,1.0,7.0,14.0
Updateable,0,1.0,0.0,2.0,4.0,1.0,10.0,8.0
Permanence,0,0.0,0.0,0.0,1.0,7.0,5.0,13.0
EX: Intuition-building,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Clearly Articulated,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Credible,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Scoped,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Impact,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Strictness,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Discoverable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Relationships,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Updateable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX: Permanence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Example Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Counter-example Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slogan Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Elements,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
